similarity,combination
1,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol']
4,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol', 'authority.sol']
5,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
2,['prototype.sol', 'Migrations.sol', 'params.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'params.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'params.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
5,['prototype.sol', 'Migrations.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
5,['prototype.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
5,['prototype.sol', 'params.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
0,['Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
5,['Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
5,['Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
4,['Migrations.sol', 'params.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['Migrations.sol', 'params.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['Migrations.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
