similarity,combination
1,['Ownable.sol']
1,['SafeMath.sol']
7,['Standard223TokenExample.sol']
1,['Standard223TokenReceiverExample.sol']
3,['Standard223Token.sol']
1,['Standard223TokenReceiverTest.sol']
1,['Standard223Receiver.sol']
4,['SmartOracle.sol']
4,['ERC20Basic.sol']
7,['BasicTokenMock.sol']
0,['StandardTokenMock.sol']
3,['StandardToken.sol']
4,['ERC223.sol']
1,['LinkToken.sol']
5,['ERC223Receiver.sol']
2,['BasicToken.sol']
2,['TokenSale.sol']
2,['ERC20.sol']
0,['Standard223TokenReceiverMock.sol']
