similarity,combination
1,['ConvertLib.sol', 'SmartOracle.sol', 'TestMetacoin.sol']
1,['ConvertLib.sol', 'SmartOracle.sol', 'Migrations.sol']
2,['ConvertLib.sol', 'SmartOracle.sol', 'MetaCoin.sol']
1,['ConvertLib.sol', 'SmartOracle.sol', 'TokenSale.sol']
1,['ConvertLib.sol', 'TestMetacoin.sol', 'Migrations.sol']
2,['ConvertLib.sol', 'TestMetacoin.sol', 'MetaCoin.sol']
1,['ConvertLib.sol', 'TestMetacoin.sol', 'TokenSale.sol']
2,['ConvertLib.sol', 'Migrations.sol', 'MetaCoin.sol']
1,['ConvertLib.sol', 'Migrations.sol', 'TokenSale.sol']
2,['ConvertLib.sol', 'MetaCoin.sol', 'TokenSale.sol']
1,['SmartOracle.sol', 'TestMetacoin.sol', 'Migrations.sol']
2,['SmartOracle.sol', 'TestMetacoin.sol', 'MetaCoin.sol']
1,['SmartOracle.sol', 'TestMetacoin.sol', 'TokenSale.sol']
2,['SmartOracle.sol', 'Migrations.sol', 'MetaCoin.sol']
1,['SmartOracle.sol', 'Migrations.sol', 'TokenSale.sol']
2,['SmartOracle.sol', 'MetaCoin.sol', 'TokenSale.sol']
2,['TestMetacoin.sol', 'Migrations.sol', 'MetaCoin.sol']
1,['TestMetacoin.sol', 'Migrations.sol', 'TokenSale.sol']
2,['TestMetacoin.sol', 'MetaCoin.sol', 'TokenSale.sol']
2,['Migrations.sol', 'MetaCoin.sol', 'TokenSale.sol']
