similarity,combination
5,['flop.sol', 'vow.t.sol']
4,['flop.sol', 'join.sol']
3,['flop.sol', 'flip.sol']
3,['flop.sol', 'vow.sol']
5,['flop.sol', 'flip.t.sol']
4,['flop.sol', 'pit.sol']
4,['flop.sol', 'move.sol']
4,['flop.sol', 'vat.sol']
6,['flop.sol', 'flop.t.sol']
5,['flop.sol', 'jug.sol']
3,['flop.sol', 'cat.sol']
6,['flop.sol', 'flap.t.sol']
3,['flop.sol', 'vat.t.sol']
2,['flop.sol', 'jug.t.sol']
3,['flop.sol', 'flap.sol']
4,['vow.t.sol', 'join.sol']
4,['vow.t.sol', 'flip.sol']
6,['vow.t.sol', 'vow.sol']
3,['vow.t.sol', 'flip.t.sol']
4,['vow.t.sol', 'pit.sol']
4,['vow.t.sol', 'move.sol']
4,['vow.t.sol', 'vat.sol']
3,['vow.t.sol', 'flop.t.sol']
6,['vow.t.sol', 'jug.sol']
4,['vow.t.sol', 'cat.sol']
3,['vow.t.sol', 'flap.t.sol']
2,['vow.t.sol', 'vat.t.sol']
4,['vow.t.sol', 'jug.t.sol']
4,['vow.t.sol', 'flap.sol']
4,['join.sol', 'flip.sol']
4,['join.sol', 'vow.sol']
3,['join.sol', 'flip.t.sol']
5,['join.sol', 'pit.sol']
1,['join.sol', 'move.sol']
4,['join.sol', 'vat.sol']
2,['join.sol', 'flop.t.sol']
4,['join.sol', 'jug.sol']
6,['join.sol', 'cat.sol']
3,['join.sol', 'flap.t.sol']
1,['join.sol', 'vat.t.sol']
1,['join.sol', 'jug.t.sol']
5,['join.sol', 'flap.sol']
3,['flip.sol', 'vow.sol']
5,['flip.sol', 'flip.t.sol']
3,['flip.sol', 'pit.sol']
3,['flip.sol', 'move.sol']
3,['flip.sol', 'vat.sol']
4,['flip.sol', 'flop.t.sol']
5,['flip.sol', 'jug.sol']
3,['flip.sol', 'cat.sol']
4,['flip.sol', 'flap.t.sol']
3,['flip.sol', 'vat.t.sol']
2,['flip.sol', 'jug.t.sol']
3,['flip.sol', 'flap.sol']
4,['vow.sol', 'flip.t.sol']
3,['vow.sol', 'pit.sol']
4,['vow.sol', 'move.sol']
3,['vow.sol', 'vat.sol']
5,['vow.sol', 'flop.t.sol']
4,['vow.sol', 'jug.sol']
3,['vow.sol', 'cat.sol']
4,['vow.sol', 'flap.t.sol']
4,['vow.sol', 'vat.t.sol']
6,['vow.sol', 'jug.t.sol']
3,['vow.sol', 'flap.sol']
5,['flip.t.sol', 'pit.sol']
3,['flip.t.sol', 'move.sol']
3,['flip.t.sol', 'vat.sol']
3,['flip.t.sol', 'flop.t.sol']
3,['flip.t.sol', 'jug.sol']
3,['flip.t.sol', 'cat.sol']
3,['flip.t.sol', 'flap.t.sol']
2,['flip.t.sol', 'vat.t.sol']
5,['flip.t.sol', 'jug.t.sol']
5,['flip.t.sol', 'flap.sol']
5,['pit.sol', 'move.sol']
3,['pit.sol', 'vat.sol']
4,['pit.sol', 'flop.t.sol']
4,['pit.sol', 'jug.sol']
4,['pit.sol', 'cat.sol']
4,['pit.sol', 'flap.t.sol']
2,['pit.sol', 'vat.t.sol']
1,['pit.sol', 'jug.t.sol']
4,['pit.sol', 'flap.sol']
4,['move.sol', 'vat.sol']
2,['move.sol', 'flop.t.sol']
3,['move.sol', 'jug.sol']
5,['move.sol', 'cat.sol']
4,['move.sol', 'flap.t.sol']
1,['move.sol', 'vat.t.sol']
1,['move.sol', 'jug.t.sol']
3,['move.sol', 'flap.sol']
4,['vat.sol', 'flop.t.sol']
3,['vat.sol', 'jug.sol']
3,['vat.sol', 'cat.sol']
4,['vat.sol', 'flap.t.sol']
2,['vat.sol', 'vat.t.sol']
1,['vat.sol', 'jug.t.sol']
3,['vat.sol', 'flap.sol']
4,['flop.t.sol', 'jug.sol']
4,['flop.t.sol', 'cat.sol']
3,['flop.t.sol', 'flap.t.sol']
2,['flop.t.sol', 'vat.t.sol']
3,['flop.t.sol', 'jug.t.sol']
6,['flop.t.sol', 'flap.sol']
4,['jug.sol', 'cat.sol']
4,['jug.sol', 'flap.t.sol']
3,['jug.sol', 'vat.t.sol']
4,['jug.sol', 'jug.t.sol']
5,['jug.sol', 'flap.sol']
4,['cat.sol', 'flap.t.sol']
3,['cat.sol', 'vat.t.sol']
1,['cat.sol', 'jug.t.sol']
3,['cat.sol', 'flap.sol']
2,['flap.t.sol', 'vat.t.sol']
3,['flap.t.sol', 'jug.t.sol']
5,['flap.t.sol', 'flap.sol']
2,['vat.t.sol', 'jug.t.sol']
3,['vat.t.sol', 'flap.sol']
2,['jug.t.sol', 'flap.sol']
