similarity,combination
23,['ExampleMigration.sol', 'Token.sol']
5,['ExampleMigration.sol', 'ProxyAccount.sol']
3,['ExampleMigration.sol', 'Wallet.sol']
9,['ExampleMigration.sol', 'GNTAllocation.sol']
4,['ExampleMigration.sol', 'BadWallet.sol']
18,['Token.sol', 'ProxyAccount.sol']
16,['Token.sol', 'Wallet.sol']
12,['Token.sol', 'GNTAllocation.sol']
34,['Token.sol', 'BadWallet.sol']
3,['ProxyAccount.sol', 'Wallet.sol']
7,['ProxyAccount.sol', 'GNTAllocation.sol']
3,['ProxyAccount.sol', 'BadWallet.sol']
3,['Wallet.sol', 'GNTAllocation.sol']
3,['Wallet.sol', 'BadWallet.sol']
2,['GNTAllocation.sol', 'BadWallet.sol']
