similarity,combination
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkBasicToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20Basic.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'LinkToken.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkBasicToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'ERC677Receiver.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkERC20Basic.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkStandardToken.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
2,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
