similarity,combination
18,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol']
9,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol']
26,['ExampleMigration.sol', 'Token.sol', 'GNTAllocation.sol']
27,['ExampleMigration.sol', 'Token.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol']
10,['ExampleMigration.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
5,['ExampleMigration.sol', 'ProxyAccount.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'Wallet.sol', 'GNTAllocation.sol']
4,['ExampleMigration.sol', 'Wallet.sol', 'BadWallet.sol']
9,['ExampleMigration.sol', 'GNTAllocation.sol', 'BadWallet.sol']
16,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol']
29,['Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
31,['Token.sol', 'ProxyAccount.sol', 'BadWallet.sol']
7,['Token.sol', 'Wallet.sol', 'GNTAllocation.sol']
27,['Token.sol', 'Wallet.sol', 'BadWallet.sol']
50,['Token.sol', 'GNTAllocation.sol', 'BadWallet.sol']
3,['ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
3,['ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
6,['ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
3,['Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
