similarity,combination
1,['SafeMath.sol', 'SmartOracle.sol']
3,['SafeMath.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'ERC20.sol']
6,['SmartOracle.sol', 'ERC20Basic.sol']
1,['SmartOracle.sol', 'BasicTokenMock.sol']
1,['SmartOracle.sol', 'StandardTokenMock.sol']
3,['SmartOracle.sol', 'StandardToken.sol']
6,['SmartOracle.sol', 'BasicToken.sol']
1,['SmartOracle.sol', 'TokenSale.sol']
3,['SmartOracle.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol']
3,['ERC20Basic.sol', 'StandardToken.sol']
3,['ERC20Basic.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'TokenSale.sol']
5,['ERC20Basic.sol', 'ERC20.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol']
5,['BasicTokenMock.sol', 'StandardToken.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol']
1,['BasicTokenMock.sol', 'TokenSale.sol']
2,['BasicTokenMock.sol', 'ERC20.sol']
5,['StandardTokenMock.sol', 'StandardToken.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol']
1,['StandardTokenMock.sol', 'TokenSale.sol']
3,['StandardTokenMock.sol', 'ERC20.sol']
10,['StandardToken.sol', 'BasicToken.sol']
3,['StandardToken.sol', 'TokenSale.sol']
4,['StandardToken.sol', 'ERC20.sol']
6,['BasicToken.sol', 'TokenSale.sol']
1,['BasicToken.sol', 'ERC20.sol']
3,['TokenSale.sol', 'ERC20.sol']
