similarity,combination
8,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol', 'Migrations.sol']
9,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol', 'SafeMath.sol']
5,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol', 'ThetaTokenSale.sol']
18,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol', 'ThetaToken.sol']
2,['TimelockedSafe.sol', 'Airdrop.sol', 'Migrations.sol', 'SafeMath.sol']
2,['TimelockedSafe.sol', 'Airdrop.sol', 'Migrations.sol', 'ThetaTokenSale.sol']
1,['TimelockedSafe.sol', 'Airdrop.sol', 'Migrations.sol', 'ThetaToken.sol']
1,['TimelockedSafe.sol', 'Airdrop.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
1,['TimelockedSafe.sol', 'Airdrop.sol', 'SafeMath.sol', 'ThetaToken.sol']
2,['TimelockedSafe.sol', 'Airdrop.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
9,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
5,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol', 'ThetaTokenSale.sol']
31,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol', 'ThetaToken.sol']
5,['TimelockedSafe.sol', 'StandardToken.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
41,['TimelockedSafe.sol', 'StandardToken.sol', 'SafeMath.sol', 'ThetaToken.sol']
9,['TimelockedSafe.sol', 'StandardToken.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
2,['TimelockedSafe.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
1,['TimelockedSafe.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaToken.sol']
2,['TimelockedSafe.sol', 'Migrations.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
2,['TimelockedSafe.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
4,['Airdrop.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
8,['Airdrop.sol', 'StandardToken.sol', 'Migrations.sol', 'ThetaTokenSale.sol']
28,['Airdrop.sol', 'StandardToken.sol', 'Migrations.sol', 'ThetaToken.sol']
11,['Airdrop.sol', 'StandardToken.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
62,['Airdrop.sol', 'StandardToken.sol', 'SafeMath.sol', 'ThetaToken.sol']
9,['Airdrop.sol', 'StandardToken.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['Airdrop.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
3,['Airdrop.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaToken.sol']
2,['Airdrop.sol', 'Migrations.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
2,['Airdrop.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
9,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
87,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaToken.sol']
19,['StandardToken.sol', 'Migrations.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
27,['StandardToken.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
