similarity,combination
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Finalizable.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Pausable.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'ControllerEventDefinitions.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'DummyToken.sol']
24,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'Finalizable.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'Pausable.sol']
26,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'ControllerEventDefinitions.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'DummyToken.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'Finalizable.sol', 'Pausable.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol']
