similarity,combination
1,['IToken.sol', 'ControllerEventDefinitions.sol']
5,['IToken.sol', 'Controller.sol']
1,['IToken.sol', 'Pausable.sol']
1,['IToken.sol', 'Owned.sol']
1,['IToken.sol', 'Token.sol']
0,['IToken.sol', 'Migrations.sol']
1,['IToken.sol', 'Receiver.sol']
0,['IToken.sol', 'TokenReceivable.sol']
1,['IToken.sol', 'SafeMath.sol']
1,['IToken.sol', 'Finalizable.sol']
1,['IToken.sol', 'EventDefinitions.sol']
0,['IToken.sol', 'DummyToken.sol']
1,['IToken.sol', 'Sale.sol']
5,['IToken.sol', 'Ledger.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol']
1,['ControllerEventDefinitions.sol', 'Owned.sol']
1,['ControllerEventDefinitions.sol', 'Token.sol']
1,['ControllerEventDefinitions.sol', 'Migrations.sol']
1,['ControllerEventDefinitions.sol', 'Receiver.sol']
1,['ControllerEventDefinitions.sol', 'TokenReceivable.sol']
1,['ControllerEventDefinitions.sol', 'SafeMath.sol']
1,['ControllerEventDefinitions.sol', 'Finalizable.sol']
1,['ControllerEventDefinitions.sol', 'EventDefinitions.sol']
1,['ControllerEventDefinitions.sol', 'DummyToken.sol']
1,['ControllerEventDefinitions.sol', 'Sale.sol']
5,['ControllerEventDefinitions.sol', 'Ledger.sol']
5,['Controller.sol', 'Pausable.sol']
5,['Controller.sol', 'Owned.sol']
5,['Controller.sol', 'Token.sol']
4,['Controller.sol', 'Migrations.sol']
5,['Controller.sol', 'Receiver.sol']
5,['Controller.sol', 'TokenReceivable.sol']
4,['Controller.sol', 'SafeMath.sol']
5,['Controller.sol', 'Finalizable.sol']
3,['Controller.sol', 'EventDefinitions.sol']
2,['Controller.sol', 'DummyToken.sol']
3,['Controller.sol', 'Sale.sol']
9,['Controller.sol', 'Ledger.sol']
1,['Pausable.sol', 'Owned.sol']
1,['Pausable.sol', 'Token.sol']
0,['Pausable.sol', 'Migrations.sol']
1,['Pausable.sol', 'Receiver.sol']
0,['Pausable.sol', 'TokenReceivable.sol']
1,['Pausable.sol', 'SafeMath.sol']
1,['Pausable.sol', 'Finalizable.sol']
1,['Pausable.sol', 'EventDefinitions.sol']
0,['Pausable.sol', 'DummyToken.sol']
1,['Pausable.sol', 'Sale.sol']
6,['Pausable.sol', 'Ledger.sol']
1,['Owned.sol', 'Token.sol']
0,['Owned.sol', 'Migrations.sol']
1,['Owned.sol', 'Receiver.sol']
0,['Owned.sol', 'TokenReceivable.sol']
1,['Owned.sol', 'SafeMath.sol']
1,['Owned.sol', 'Finalizable.sol']
1,['Owned.sol', 'EventDefinitions.sol']
0,['Owned.sol', 'DummyToken.sol']
1,['Owned.sol', 'Sale.sol']
6,['Owned.sol', 'Ledger.sol']
0,['Token.sol', 'Migrations.sol']
1,['Token.sol', 'Receiver.sol']
1,['Token.sol', 'TokenReceivable.sol']
1,['Token.sol', 'SafeMath.sol']
1,['Token.sol', 'Finalizable.sol']
1,['Token.sol', 'EventDefinitions.sol']
0,['Token.sol', 'DummyToken.sol']
1,['Token.sol', 'Sale.sol']
5,['Token.sol', 'Ledger.sol']
1,['Migrations.sol', 'Receiver.sol']
0,['Migrations.sol', 'TokenReceivable.sol']
1,['Migrations.sol', 'SafeMath.sol']
0,['Migrations.sol', 'Finalizable.sol']
1,['Migrations.sol', 'EventDefinitions.sol']
0,['Migrations.sol', 'DummyToken.sol']
1,['Migrations.sol', 'Sale.sol']
5,['Migrations.sol', 'Ledger.sol']
1,['Receiver.sol', 'TokenReceivable.sol']
1,['Receiver.sol', 'SafeMath.sol']
1,['Receiver.sol', 'Finalizable.sol']
1,['Receiver.sol', 'EventDefinitions.sol']
0,['Receiver.sol', 'DummyToken.sol']
1,['Receiver.sol', 'Sale.sol']
6,['Receiver.sol', 'Ledger.sol']
1,['TokenReceivable.sol', 'SafeMath.sol']
0,['TokenReceivable.sol', 'Finalizable.sol']
1,['TokenReceivable.sol', 'EventDefinitions.sol']
0,['TokenReceivable.sol', 'DummyToken.sol']
1,['TokenReceivable.sol', 'Sale.sol']
5,['TokenReceivable.sol', 'Ledger.sol']
1,['SafeMath.sol', 'Finalizable.sol']
1,['SafeMath.sol', 'EventDefinitions.sol']
1,['SafeMath.sol', 'DummyToken.sol']
1,['SafeMath.sol', 'Sale.sol']
4,['SafeMath.sol', 'Ledger.sol']
1,['Finalizable.sol', 'EventDefinitions.sol']
0,['Finalizable.sol', 'DummyToken.sol']
1,['Finalizable.sol', 'Sale.sol']
5,['Finalizable.sol', 'Ledger.sol']
1,['EventDefinitions.sol', 'DummyToken.sol']
1,['EventDefinitions.sol', 'Sale.sol']
5,['EventDefinitions.sol', 'Ledger.sol']
1,['DummyToken.sol', 'Sale.sol']
4,['DummyToken.sol', 'Ledger.sol']
5,['Sale.sol', 'Ledger.sol']
