similarity,combination
8,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
5,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol', 'Migrations.sol', 'ThetaTokenSale.sol']
28,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol', 'Migrations.sol', 'ThetaToken.sol']
5,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
36,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol', 'SafeMath.sol', 'ThetaToken.sol']
8,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['TimelockedSafe.sol', 'Airdrop.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
1,['TimelockedSafe.sol', 'Airdrop.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaToken.sol']
4,['TimelockedSafe.sol', 'Airdrop.sol', 'Migrations.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['TimelockedSafe.sol', 'Airdrop.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
5,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
33,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaToken.sol']
9,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
10,['TimelockedSafe.sol', 'StandardToken.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
2,['TimelockedSafe.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
9,['Airdrop.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
70,['Airdrop.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaToken.sol']
18,['Airdrop.sol', 'StandardToken.sol', 'Migrations.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
26,['Airdrop.sol', 'StandardToken.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['Airdrop.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
25,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
